Rank,Puzzle
1,1  1  4  6
2,1  1  3  8
3,1  1  11  11
4,1  1  1  8
5,6  6  6  6
6,1  1  2  12
7,1  2  2  6
8,1  1  10  12
9,1  1  1  12
10,2  2  10  10
11,1  1  2  8
12,1  1  12  12
13,2  2  2  12
14,1  1  3  12
15,1  1  5  8
16,1  1  2  6
17,1  1  4  8
18,4  6  11  11
19,1  1  4  12
20,3  3  3  8
21,1  1  2  11
22,1  2  3  4
23,11  11  12  12
24,1  1  13  13
25,1  2  4  12
26,1  1  2  13
27,1  1  3  9
28,3  7  7  8
29,4  6  7  7
30,1  1  3  6
31,1  1  5  6
32,1  1  11  13
33,7  7  12  12
34,4  6  13  13
35,1  1  11  12
36,1  6  6  12
37,4  5  12  12
38,4  4  4  6
39,1  1  1  11
40,1  8  8  8
41,12  12  12  12
42,2  7  7  12
43,2  2  3  8
44,11  11  11  12
45,2  11  11  12
46,10  10  12  12
47,2  9  9  12
48,1  1  5  5
49,1  5  7  12
50,8  8  12  12
